Title,Artist,Year,Rank,Lyrics
What's Luv?,Fat Joe,2002,8,"[Intro: Fat Joe & Ashanti]Put the fuckin mic on..Mic is on?Joe Crack the Don, uh!Uh.. Irv Gotti!What's love?Ashanti, Terror.. Terror SquadIt should be about us, be about trust[Chorus: Ashanti & (Ja Rule)]What's love? (Got to do, got to do with it, babe)What's love? It's about us, it's about trust, babeWhat's love? (Got to do, got to do with it, babe)What's love? It should be about us, it should be about trust, babeWhat's love?[Verse 1: Fat Joe]Yeah, uh, uh, uhWoo! Yeah, slow down, babyLet you know from the gate I don't go down ladyI wanna chick with thick hips that licks her lipsShe can be the office type or like to stripGirl, you get me aroused how you look in my eyeBut you talk too much, man, you're ruinin' my highDon't wanna lose the feelin' cause, the roof is chillinIt's on fire and you lookin good for the gettin'I'ma, rider, whether in a hoodie or a linenA provider; you should see the jewelry on my womenAnd I'm, livin' it up, the Squad stay fillin the truckWith chicks that's willin' to triz with us, uhYou say you gotta man and you're in loveBut what's love gotta do with a little menage?After the par-tay, me and youCould just slide for a few and she could come tooThat's love!"
U Got It Bad,Usher,2002,9,"[Intro]Ooh-ohNo, no, no, noNo, no, no, no, no, no, noNo-ouh[Verse 1]When you feel it in your body, you found somebody whoMakes you change your ways like hanging with your crewSaid you act like you ready, but you don't really knowAnd everything in your past, you wanna let it go[Pre-Chorus 1]I've been there, done it, fucked aroundAfter all that, this is what I foundNobody wants to be aloneIf you're touched by the words in this songThen maybe...[Chorus]You got it, you got it badWhen you're on the phone, hang up and you call right backYou got it, you got it badIf you miss a day without your friend, your whole life's off-trackKnow you got it bad when you're stuck in the houseYou don't wanna have fun, it's all you think aboutYou got it bad when you're out with someoneBut you keep on thinking 'bout somebody elseYou got it bad"
Blurry,Puddle of Mudd,2002,10,"[Verse 1]Everything's so blurry and everyone's so fakeAnd everybody's empty and everything is so messed upPreoccupied, without you I cannot live at allMy whole world surrounds you, I stumble then I crawl[Verse 2]You could be my someone, you could be my sceneYou know that I'll protect you from all of the obsceneI wonder what you're doing, imagine where you areThere's oceans in between us, but that's not very far[Chorus]Can you take it all away?Can you take it all away?When you shoved it in my faceThis pain you gave to meCan you take it all away?Can you take it all away?When you shoved it in my face?[Verse 3]Everyone is changing, there's no one left that's realSo make up your own ending and let me know just how you feelCause I am lost without you, I cannot live at allMy whole world surrounds you, I stumble then I crawl"
Complicated,Avril Lavigne,2002,11,"[Intro]Uh-huh, life's like thisUh-huh, uh-huh, that's the way it is'Cause life's like thisUh-huh, uh-huh, that's the way it is[Verse 1]Chill out, whatcha yellin' for?Lay back, it's all been done beforeAnd if you could only let it be, you would seeI like you the way you areWhen we're drivin' in your carAnd you're talkin' to me one-on-oneBut you become[Pre-Chorus]Somebody else 'round everyone elseYou're watchin' your back like you can't relaxYou're tryin' to be coolYou look like a fool to meTell me[Chorus]Why'd you have to go and make things so complicated?I see the way you'reActin' like you're somebody else, gets me frustratedLife's like this, youAnd you fall, and you crawl, and you breakAnd you take what you getAnd you turn it into honestyAnd promise me, I'm never gonna find you fake itNo, no, no"
Always on Time,Ja Rule,2002,12,"[Intro: Ashanti]Always there when you call (Buckshots, ha), always on timeGave you my, baby be mineAlways there when you call, always on timeGave you my, baby[Hook: Ashanti]Baby, I'm not always there when you call, but I'm always on timeAnd I gave you my all, now baby, be mineI'm not always there when you call, but I'm always on timeAnd I gave you my all, now baby, be mine[Verse 1: Ja Rule]C'mon and get a piece of this late-night loverYou know, the one that swing dick like no otherI know, I got a lot of things I need to explainBut, baby, you know the name, and love is about painSo, stop the complaints and drop the order restraintsOur sex life's a game, so back me down in the paint'Cause I can't wait no more'Cause it's about a quarter past three and shorty's eyeing meI got the Bentley valetedAnd I'm just outside of Jersey, past the PalisadesAnd I'd love to see that ass in boots and shadesThrow down on the bed while I'm yanking your braidsThug style, you never thought I'd make you smileWhile I'm smacking your ass and fucking you all wildBut we share something so rare, but who cares, you care"
Ain't It Funny (Murder Remix),Jennifer Lopez,2002,13,"[Intro: Ja Rule]Murda Inc, haha[Verse 1: Ja Rule]It must be the ass that got me like damnIf they get any fatter, man, the Rule going to have to get at herAnd our situation won't matterI come to make you smile in the freakiest mannersJ to the L-O, helloNo, I'm not Lee Harvey OswaldI'm the Rule and I shot call""Off the Wall"" like MJ in his early daysIt's the Inc. and Lopez now[Verse 2: Jennifer Lopez]Ain't that funny?It's been a while since you came aroundNow you want to see what's going downTryna tell me why you want my timeTryna tell me how I'm on your mind (On your mind)See, it never had to be this wayYou should have never played the games you playedNow I'm seeing that you're kind of lameKnowing how the situation change[Chorus: Jennifer Lopez]Ain't that funny? (Ain't that funny?)Baby, that you want meWhen you had meLove is crazyNow I can smile and sayAin't that funny? (Ain't that funny?)Baby, that you want meWhen you had meLove is crazyI'm glad I can smile and sayAin't that funny?"
The Middle,Jimmy Eat World,2002,14,"[Verse 1]Hey, don't write yourself off yetIt's only in your head, you feel left outOr looked down onJust try your best, try everything you canAnd don't you worry what they tell themselvesWhen you're away[Chorus]It just takes some timeLittle girl, you're in the middle of the rideEverything, everything will be just fineEverything, everything will be alright, alright[Verse 2]Hey, you know they're all the sameYou know you're doing better on your own (On your own)So don't buy inLive right now, yeah, just be yourselfIt doesn't matter if it's good enough (Good enough)For someone else[Chorus]It just takes some timeLittle girl, you're in the middle of the rideEverything, everything will be just fineEverything, everything will be alright, alrightIt just takes some timeLittle girl, you're in the middle of the rideEverything, everything will be just fineEverything, everything will be alright, alrightWoo!"
I Need a Girl (Part One),Sean Combs,2002,15,
U Don't Have to Call,Usher,2002,16,"[Intro]Yo, after tonight...Don't leave your girl around me, true playa for realAsk my nigga, Pharrell, uhCome on, that's how it's going downYou smell it? Hah yeahYou smell it? Hah yeahDon't leave your girl around me, true playa for realAsk my nigga, Pharrell, uh[Verse 1]Situations will ariseIn our livesBut you got to be smart about itCelebrations with the guysI sacrificed'Cause I knew you could not sleep without it[Pre-Chorus 1]Meanwhile I...I loved you, you were my girlYou see, I...Thought the world of youBut you're still steady leaving, baby[Chorus]You don't have to callIt's okay, girl'Cause I'ma be alright tonightYou don't have to callIt's okay, girl'Cause I'ma be alright tonight"
Family Affair,Mary J. Blige,2002,17,"[Chorus]Let's get it crunk up onHave fun up on up in this danceryWe got y'all open, now ya floatin'So you gots to dance for meDon't need no haterationHolleration in this danceryLet's get it percolatin', while you're waitin'So just dance for me[Verse 1]Come on, everybody, get on up'Cause you know we gots to get it crunkMary J. is in the spot tonightAnd I'ma make it feel alright (Make it feel alright)Come on, baby, just party with meLet loose and set your body free (Oh)Leave your situations at the doorSo when you step inside, jump on the floor[Chorus]Let's get it crunk up on (Let's get crunk up on)Have fun up on up in this danceryWe got y'all open, now ya floatin'So you gots to dance for meDon't need no haterationHolleration in this dancery (Holler, holler, holler)Let's get it percolatin', while you're waitin'So just dance for me"
I Need a Girl (Part Two),Sean Combs,2002,18,
Gangsta Lovin',Eve,2002,19,"[Intro: Alicia Keys & (Eve)]I just wanna rock you, all night longOh-oh!I just wanna rock you (Uh-huh), all night longOh-oh![Verse 1: Eve]Yo!Need you to understand me, daddy, I ain't your averageBaby girl, doin' it all, I'm well establishedI ain't tryna lead you on, just wanna askIf you might wanna give me your name, explain your statusYou know I see you in time and time, you seem availableDon't mean shit, I know these bitches wanna settle youGotta say you on my short list of fewThem other dudes is ok, but I'm feelin youWant you in the best way, what you 'gon do about it?Why don't you just test me, you won't want to do without itYo, I'm comin' at you hard, bein' a thugAnd I ain't givin up till I get that gangsta love, uh-huh[Chorus: Alicia Keys]I just wanna rock you, all night longOh-oh!(I wanna rock ya) I just wanna rock you, all night longOh-oh!"
My Sacrifice,Creed,2002,20,"[Verse 1]Hello my friend, we meet againIt's been a while, where should we begin?Feels like foreverWithin my heart are memoriesOf perfect love that you gave to meOh I remember[Chorus]When you are with me, I'm freeI'm careless, I believeAbove all the others, we'll flyThis brings tears to my eyesMy sacrifice[Verse 2]We've seen our share of ups and downsOh, how quickly life can turn aroundIn an instantIt feels so good to reuniteWithin yourself and within your mindLet's find peace there[Chorus]'Cause when you are with me, I'm freeI'm careless, I believeAbove all the others, we'll flyThis brings tears to my eyesMy sacrifice"
Without Me,Eminem,2002,21,"[Intro: Obie Trice]Obie Trice, real name, no gimmicks (*record scratch*)[Refrain 1: Eminem]Two trailer park girls go 'round the outside'Round the outside, 'round the outsideTwo trailer park girls go round the outside'Round the outside, 'round the outside[Refrain 2: Eminem]Guess who's back, back againShady's back, tell a friendGuess who's back, guess who's backGuess who's back, guess who's backGuess who's back, guess who's backGuess who's back[Verse 1: Eminem]I've created a monster, 'cause nobody wants toSee Marshall no more; they want Shady, I'm chopped liverWell, if you want Shady, this what I'll give yaA little bit of weed mixed with some hard liquorSome vodka that'll jump-start my heart quickerThan a shock when I get shocked at the hospitalBy the doctor when I'm not co-operatingWhen I'm rocking the table while he's operating (Hey!)You waited this long, now stop debating'Cause I'm back, I'm on the rag and ovulatingI know that you got a job, Ms. CheneyBut your husband's heart problem's complicatingSo the FCC won't let me beOr let me be me, so let me seeThey try to shut me down on MTVBut it feels so empty without meSo, come on and dip, bum on your lipsFuck that, cum on your lips and some on your titsAnd get ready, 'cause this shit's about to get heavyI just settled all my lawsuits, fuck you, Debbie!"
